"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","5","AT89S52-24AU-ND","AT89S52-24AU","IC MCU 8BIT 8KB FLASH 44TQFP","","0","1.65000","8.25"
"2","3","AT89S52-24PU-ND","AT89S52-24PU","IC MCU 8BIT 8KB FLASH 40DIP","","0","2.55000","7.65"
"3","3","EG5530-ND","PR142C2000-136","SWITCH PUSHBUTTON DPST 16A 125V","","0","2.19000","6.57"
"4","2","P12346S-ND","ESE-20C343","SWITCH PUSH SPST-NO 0.1A 14V","","0","1.37000","2.74"
"5","2","CW181-ND","GPTS203211B","SWITCH PUSHBUTTON SPST 1A 30V","","0","0.74000","1.48"
"6","2","504PB-ND","40-2385-01","SWITCH PUSHBUTTON SPST 2A 14V","","0","1.52000","3.04"
"7","2","CW180-ND","GPBS-850N","SWITCH PUSHBUTTON DPDT 0.3A 30V","","0","0.63000","1.26"
"8","3","563-1932-5-ND","TR1-01","SWITCH PUSH SPST-NO 10MA 12V","","0","0.51000","1.53"
"9","1","1568-1856-ND","COM-14662","KEYPAD - 12 BUTTON","","0","3.95000","3.95"
"10","10","450-1650-ND","1825910-6","SWITCH TACTILE SPST-NO 0.05A 24V","","0","0.10000","1.00"
"11","10","450-1804-ND","1825910-7","SWITCH TACTILE SPST-NO 0.05A 24V","","0","0.10600","1.06"
"12","1","NHD-1.8-128160EF-CTXI#-FT-ND","NHD-1.8-128160EF-CTXI#-FT","DISPLAY LCD TFT TOUCH 24ZIF","","0","14.17000","14.17"
"13","1","NHD-0108BZ-RN-YBW-33V-ND","NHD-0108BZ-RN-YBW-33V","LCD MOD CHAR 1X8 Y/G REFL STN","","0","7.55000","7.55"
"14","10","1830-1152-ND","INND-TS40RAB","7-SEG. DISPLAY THROUGH HOLE","","0","0.89500","8.95"
"15","2","1568-1513-ND","PRT-12796","JUMPER WIRE F/F 6"" 20PCS","","0","1.95000","3.90"
"16","2","1568-1512-ND","PRT-12795","JUMPER WIRE M/M 6"" 20PCS","","0","1.95000","3.90"
"17","5","CT2105MS-ND","210-5MS","SWITCH SLIDE DIP SPST 100MA 20V","","0","0.62000","3.10"
